STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2011,,34.2,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2012,,31.9,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2013,,30.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2014,,30.5,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2015,,30.0,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2016,,31.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2017,,26.8,,b,break in time series,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2018,,27.7,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2019,,27.5,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2020,,24.0,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2021,,25.0,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2022,,23.5,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2023,,23.1,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BE,Belgium,2024,,17.3,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2010,,32.7,,b,break in time series,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2011,,34.0,,b,break in time series,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2012,,31.3,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2013,,29.0,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2014,,32.2,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2015,,35.0,,,,,
